id,Station Name,Description,SampleDate,SampleTime,parameter,qualifier,Result,unit,method,CreateDate,Distance,Direction
385209,WP0000037,Goleta Beach,1998-03-02,0:00:00,Enterococcus,=,111,MPN/100ml,Enterolert,3/2/98,,
385210,WP0000037,Goleta Beach,1998-03-09,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,3/9/98,,
385211,WP0000037,Goleta Beach,1998-03-16,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,3/16/98,,
385212,WP0000037,Goleta Beach,1998-03-23,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,3/23/98,,
385213,WP0000037,Goleta Beach,1998-03-30,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,3/30/98,,
385214,WP0000037,Goleta Beach,1998-04-06,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,4/6/98,,
385215,WP0000037,Goleta Beach,1998-04-13,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,4/13/98,,
385216,WP0000037,Goleta Beach,1998-04-20,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,4/20/98,,
385217,WP0000037,Goleta Beach,1998-04-27,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,4/27/98,,
385218,WP0000037,Goleta Beach,1998-05-04,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,5/4/98,,
385219,WP0000037,Goleta Beach,1998-05-11,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,5/11/98,,
385220,WP0000037,Goleta Beach,1998-05-18,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,5/18/98,,
385221,WP0000037,Goleta Beach,1998-05-26,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,5/26/98,,
385222,WP0000037,Goleta Beach,1998-06-01,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,6/1/98,,
385223,WP0000037,Goleta Beach,1998-06-08,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,6/8/98,,
385224,WP0000037,Goleta Beach,1998-06-15,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,6/15/98,,
385225,WP0000037,Goleta Beach,1998-06-22,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,6/22/98,,
385226,WP0000037,Goleta Beach,1998-06-29,0:00:00,Enterococcus,=,99,MPN/100ml,Enterolert,6/29/98,,
385227,WP0000037,Goleta Beach,1998-07-06,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,7/6/98,,
385228,WP0000037,Goleta Beach,1998-07-13,0:00:00,Enterococcus,=,150,MPN/100ml,Enterolert,7/13/98,,
385229,WP0000037,Goleta Beach,1998-07-20,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,7/20/98,,
