id,Station Name,Description,SampleDate,SampleTime,parameter,qualifier,Result,unit,method,CreateDate,Distance,Direction
385421,WP0000072,Hope Ranch Beach,1998-03-02,0:00:00,Enterococcus,=,2005,MPN/100ml,Enterolert,3/2/98,,
385422,WP0000072,Hope Ranch Beach,1998-03-09,0:00:00,Enterococcus,=,20,MPN/100ml,Enterolert,3/9/98,,
385423,WP0000072,Hope Ranch Beach,1998-03-16,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,3/16/98,,
385424,WP0000072,Hope Ranch Beach,1998-03-23,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,3/23/98,,
385425,WP0000072,Hope Ranch Beach,1998-03-30,0:00:00,Enterococcus,=,124,MPN/100ml,Enterolert,3/30/98,,
385426,WP0000072,Hope Ranch Beach,1998-04-06,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,4/6/98,,
385427,WP0000072,Hope Ranch Beach,1998-04-13,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,4/13/98,,
385428,WP0000072,Hope Ranch Beach,1998-04-20,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,4/20/98,,
385429,WP0000072,Hope Ranch Beach,1998-04-27,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,4/27/98,,
385430,WP0000072,Hope Ranch Beach,1998-05-04,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,5/4/98,,
385431,WP0000072,Hope Ranch Beach,1998-05-11,0:00:00,Enterococcus,=,75,MPN/100ml,Enterolert,5/11/98,,
385432,WP0000072,Hope Ranch Beach,1998-05-18,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,5/18/98,,
385433,WP0000072,Hope Ranch Beach,1998-05-26,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,5/26/98,,
385434,WP0000072,Hope Ranch Beach,1998-06-01,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,6/1/98,,
385435,WP0000072,Hope Ranch Beach,1998-06-08,0:00:00,Enterococcus,=,137,MPN/100ml,Enterolert,6/8/98,,
385436,WP0000072,Hope Ranch Beach,1998-06-15,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,6/15/98,,
385437,WP0000072,Hope Ranch Beach,1998-06-22,0:00:00,Enterococcus,=,42,MPN/100ml,Enterolert,6/22/98,,
385438,WP0000072,Hope Ranch Beach,1998-06-29,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,6/29/98,,
385439,WP0000072,Hope Ranch Beach,1998-07-06,0:00:00,Enterococcus,=,111,MPN/100ml,Enterolert,7/6/98,,
385440,WP0000072,Hope Ranch Beach,1998-07-13,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,7/13/98,,
385441,WP0000072,Hope Ranch Beach,1998-07-20,0:00:00,Enterococcus,=,124,MPN/100ml,Enterolert,7/20/98,,
385442,WP0000072,Hope Ranch Beach,1998-07-27,0:00:00,Enterococcus,=,64,MPN/100ml,Enterolert,7/27/98,,
385443,WP0000072,Hope Ranch Beach,1998-08-03,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,8/3/98,,
385444,WP0000072,Hope Ranch Beach,1998-08-10,0:00:00,Enterococcus,=,42,MPN/100ml,Enterolert,8/10/98,,
385445,WP0000072,Hope Ranch Beach,1998-08-17,0:00:00,Enterococcus,=,137,MPN/100ml,Enterolert,8/17/98,,
385446,WP0000072,Hope Ranch Beach,1998-08-24,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,8/24/98,,
385447,WP0000072,Hope Ranch Beach,1998-08-31,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,8/31/98,,
385448,WP0000072,Hope Ranch Beach,1998-09-08,0:00:00,Enterococcus,=,124,MPN/100ml,Enterolert,9/8/98,,
385449,WP0000072,Hope Ranch Beach,1998-09-14,0:00:00,Enterococcus,=,222,MPN/100ml,Enterolert,9/14/98,,
385450,WP0000072,Hope Ranch Beach,1998-09-21,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,9/21/98,,
385451,WP0000072,Hope Ranch Beach,1998-09-28,0:00:00,Enterococcus,=,42,MPN/100ml,Enterolert,9/28/98,,
385452,WP0000072,Hope Ranch Beach,1998-10-05,0:00:00,Enterococcus,=,42,MPN/100ml,Enterolert,10/5/98,,
385453,WP0000072,Hope Ranch Beach,1998-10-12,0:00:00,Enterococcus,=,87,MPN/100ml,Enterolert,10/12/98,,
385454,WP0000072,Hope Ranch Beach,1998-10-19,0:00:00,Enterococcus,=,53,MPN/100ml,Enterolert,10/19/98,,
385455,WP0000072,Hope Ranch Beach,1998-10-26,0:00:00,Enterococcus,=,20,MPN/100ml,Enterolert,10/26/98,,
385456,WP0000072,Hope Ranch Beach,1998-11-02,0:00:00,Enterococcus,=,20,MPN/100ml,Enterolert,11/2/98,,
385457,WP0000072,Hope Ranch Beach,1998-11-09,0:00:00,Enterococcus,=,30,MPN/100ml,Enterolert,11/9/98,,
385458,WP0000072,Hope Ranch Beach,1998-11-16,0:00:00,Enterococcus,=,1,MPN/100ml,Enterolert,11/16/98,,
385459,WP0000072,Hope Ranch Beach,1998-11-23,0:00:00,Enterococcus,=,20,MPN/100ml,Enterolert,11/23/98,,
385460,WP0000072,Hope Ranch Beach,1998-11-30,0:00:00,Enterococcus,=,435,MPN/100ml,Enterolert,11/30/98,,
385461,WP0000072,Hope Ranch Beach,1998-12-07,0:00:00,Enterococcus,=,63,MPN/100ml,Enterolert,12/7/98,,
385462,WP0000072,Hope Ranch Beach,1998-12-14,0:00:00,Enterococcus,=,257,MPN/100ml,Enterolert,12/14/98,,
385463,WP0000072,Hope Ranch Beach,1998-12-21,0:00:00,Enterococcus,=,20,MPN/100ml,Enterolert,12/21/98,,
385464,WP0000072,Hope Ranch Beach,1998-12-28,0:00:00,Enterococcus,=,63,MPN/100ml,Enterolert,12/28/98,,
386109,WP0000072,Hope Ranch Beach,1999-01-04,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,1/4/99,,
386110,WP0000072,Hope Ranch Beach,1999-01-11,0:00:00,Enterococcus,=,41,MPN/100ml,Enterolert,1/11/99,,
386111,WP0000072,Hope Ranch Beach,1999-01-19,0:00:00,Enterococcus,=,132,MPN/100ml,Enterolert,1/19/99,,
386112,WP0000072,Hope Ranch Beach,1999-01-25,0:00:00,Enterococcus,=,435,MPN/100ml,Enterolert,1/25/99,,
386113,WP0000072,Hope Ranch Beach,1999-02-01,0:00:00,Enterococcus,=,85,MPN/100ml,Enterolert,2/1/99,,
386114,WP0000072,Hope Ranch Beach,1999-02-08,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,2/8/99,,
386115,WP0000072,Hope Ranch Beach,1999-02-16,0:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,2/16/99,,
386116,WP0000072,Hope Ranch Beach,1999-02-22,0:00:00,Enterococcus,=,20,MPN/100ml,Enterolert,2/22/99,,
