id,Station Name,Description,SampleDate,SampleTime,parameter,qualifier,Result,unit,method,CreateDate,Distance,Direction
389421,WP0000012,Sands at Coal Oil Point,2003-08-04,15:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,8/4/03,,
389422,WP0000012,Sands at Coal Oil Point,2003-08-11,15:00:00,Enterococcus,=,41,MPN/100ml,Enterolert,8/11/03,,
389423,WP0000012,Sands at Coal Oil Point,2003-08-18,15:00:00,Enterococcus,<,10,MPN/100ml,Enterolert,8/18/03,,
389424,WP0000012,Sands at Coal Oil Point,2003-08-25,15:00:00,Enterococcus,<,10,MPN/100ml,Enterolert,8/25/03,,
389425,WP0000012,Sands at Coal Oil Point,2003-09-02,15:35:00,Enterococcus,=,10,MPN/100ml,Enterolert,9/2/03,,
389426,WP0000012,Sands at Coal Oil Point,2003-09-08,15:30:00,Enterococcus,<,10,MPN/100ml,Enterolert,9/8/03,,
389427,WP0000012,Sands at Coal Oil Point,2003-09-15,15:25:00,Enterococcus,<,10,MPN/100ml,Enterolert,9/15/03,,
389428,WP0000012,Sands at Coal Oil Point,2003-09-22,16:00:00,Enterococcus,<,10,MPN/100ml,Enterolert,9/22/03,,
389429,WP0000012,Sands at Coal Oil Point,2003-09-29,16:10:00,Enterococcus,<,10,MPN/100ml,Enterolert,9/29/03,,
389430,WP0000012,Sands at Coal Oil Point,2003-10-06,14:10:00,Enterococcus,<,10,MPN/100ml,Enterolert,10/6/03,,
389431,WP0000012,Sands at Coal Oil Point,2003-10-13,16:00:00,Enterococcus,=,20,MPN/100ml,Enterolert,10/13/03,,
389432,WP0000012,Sands at Coal Oil Point,2003-10-20,16:00:00,Enterococcus,=,41,MPN/100ml,Enterolert,10/20/03,,
389433,WP0000012,Sands at Coal Oil Point,2003-10-27,16:00:00,Enterococcus,=,10,MPN/100ml,Enterolert,10/27/03,,
389434,WP0000012,Sands at Coal Oil Point,2003-11-03,15:00:00,Enterococcus,<,10,MPN/100ml,Enterolert,11/3/03,,
389435,WP0000012,Sands at Coal Oil Point,2003-11-12,15:00:00,Enterococcus,<,10,MPN/100ml,Enterolert,11/12/03,,
389436,WP0000012,Sands at Coal Oil Point,2003-11-17,16:00:00,Enterococcus,<,10,MPN/100ml,Enterolert,11/17/03,,
389437,WP0000012,Sands at Coal Oil Point,2003-11-24,16:00:00,Enterococcus,<,10,MPN/100ml,Enterolert,11/24/03,,
389438,WP0000012,Sands at Coal Oil Point,2003-12-01,16:00:00,Enterococcus,<,10,MPN/100ml,Enterolert,12/1/03,,
389439,WP0000012,Sands at Coal Oil Point,2003-12-08,16:30:00,Enterococcus,<,10,MPN/100ml,Enterolert,12/8/03,,
389440,WP0000012,Sands at Coal Oil Point,2003-12-15,15:30:00,Enterococcus,<,10,MPN/100ml,Enterolert,12/15/03,,
