StationID,TestMaterial,CompositeID,SampleDate,ParameterCode,SampleCollectionTime,SampleType,Qualifier,Result,Units,LabCode,Comments
GVWAT1,Creek Water,,2002-09-08,Temp,11:07:00 AM,Average,,20.1,Deg C,SBCK,
GVWAT1,Creek Water,,2002-09-08,Temp,11:07:00 AM,Average,,20.8,Deg C,SBCK,
GVWAT1,Creek Water,,2002-09-08,TimeAtSite,11:07:00 AM,RESULTS,,1107,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2002-09-08,TURB,11:07:00 AM,Average,,4.5,NTU,SBCK,
GVWAT1,Creek Water,,2002-10-06,Conductivity,11:13:00 AM,Average,,1841,uS,SBCK,
GVWAT1,Creek Water,,2002-10-06,DO,11:13:00 AM,Average,,6.01,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2002-10-06,DO % Sat,11:13:00 AM,Average,,62,% Sat,SBCK,
GVWAT1,Creek Water,,2002-10-06,pH,11:13:00 AM,Average,,7.8,pH,SBCK,
GVWAT1,Creek Water,,2002-10-06,Temp,11:13:00 AM,Average,,16.7,Deg C,SBCK,
GVWAT1,Creek Water,,2002-10-06,Temp,11:13:00 AM,Average,,17.1,Deg C,SBCK,
GVWAT1,Creek water,,2002-10-06,TimeAtSite,11:13:00 AM,RESULTS,,1113,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2002-10-06,TURB,11:13:00 AM,Average,,1.03,NTU,SBCK,
GVWAT1,Creek Water,,2002-11-03,Conductivity,11:00:00 AM,Average,,2290,uS,SBCK,
GVWAT1,Creek Water,,2002-11-03,DO,11:00:00 AM,Average,,5.39,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2002-11-03,DO % Sat,11:00:00 AM,Average,,52.5,% Sat,SBCK,
GVWAT1,Creek Water,,2002-11-03,pH,11:00:00 AM,Average,,7.8,pH,SBCK,
GVWAT1,Creek Water,,2002-11-03,Temp,11:00:00 AM,Average,,13.6,Deg C,SBCK,
GVWAT1,Creek Water,,2002-11-03,Temp,11:00:00 AM,Average,,13.8,Deg C,SBCK,
GVWAT1,Creek Water,,2002-11-03,TimeAtSite,11:00:00 AM,RESULTS,,1100,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2002-11-03,TURB,11:00:00 AM,Average,,0.73,NTU,SBCK,
GVWAT1,Creek Water,,2002-12-08,DO,11:10:00 AM,Average,,13,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2002-12-08,DO % Sat,11:10:00 AM,Average,,121.6,% Sat,SBCK,
GVWAT1,Creek Water,,2002-12-08,pH,11:10:00 AM,Average,,7.7,pH,SBCK,
GVWAT1,Creek Water,,2002-12-08,Temp,11:10:00 AM,Average,,12.5,Deg C,SBCK,
GVWAT1,Creek Water,,2002-12-08,TimeAtSite,11:10:00 AM,RESULTS,,1110,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2002-12-08,TURB,11:10:00 AM,Average,,2.25,NTU,SBCK,
GVWAT1,Creek Water,,2003-01-12,DO,11:00:00 AM,Average,,9.68,mg/L ppm,SBCK,
GVWAT1,Creek Water,,2003-01-12,DO % Sat,11:00:00 AM,Average,,91.7,% Sat,SBCK,
GVWAT1,Creek Water,,2003-01-12,pH,11:00:00 AM,Average,,7.5,pH,SBCK,
GVWAT1,Creek Water,,2003-01-12,Temp,11:00:00 AM,Average,,12.3,Deg C,SBCK,
GVWAT1,Creek Water,,2003-01-12,Temp,11:00:00 AM,Average,,12.8,Deg C,SBCK,
GVWAT1,Creek Water,,2003-01-12,TimeAtSite,11:00:00 AM,RESULTS,,1100,MilitaryTime,SBCK,
GVWAT1,Creek Water,,2003-01-12,TURB,11:00:00 AM,Average,,3.1,NTU,SBCK,
GVWAT1,Creek Water,,2003-02-02,Conductivity,10:36:00 AM,Average,,4090,uS,SBCK,
