year,month,day,rainfall,
2001,1,8,0.44,
2001,1,11,4.05,
2001,1,12,1.03,
2001,1,24,0.87,
2001,1,26,0.73,
2001,2,10,0.90,
2001,2,11,0.14,
2001,2,12,1.08,
2001,2,13,1.00,
2001,2,14,0.17,
2001,2,18,0.10,
2001,2,19,0.21,
2001,2,20,0.58,
2001,2,21,0.04,
2001,2,23,0.14,
2001,2,24,0.13,
2001,2,25,0.50,
2001,2,26,0.41,
2001,2,28,0.12,
2001,3,1,0.51,
2001,3,4,0.10,
2001,3,5,5.30,
2001,3,6,2.04,
2001,3,7,0.10,
2001,4,7,0.65,
2001,4,21,0.33,
2001,10,30,0.08,
2001,10,31,0.55,
2001,11,11,0.50,
2001,11,12,0.02,
2001,11,13,1.09,
2001,11,24,0.10,
2001,11,25,1.22,
2001,11,29,0.47,
2001,11,30,0.07,
2001,12,1,0.02,
2001,12,3,0.63,
2001,12,10,0.01,
2001,12,15,0.16,
2001,12,20,0.07,
2001,12,21,0.39,
2001,12,29,0.25,
2001,12,30,0.37,
2001,12,31,0.26,
2002,1,3,0.14,
2002,1,27,0.05,
2002,1,28,1.15,
2002,2,17,0.36,
2002,2,18,0.05,
2002,3,7,0.27,
2002,3,18,0.10,
2002,3,23,0.10,
2002,5,21,0.09,
2002,6,9,0.02,
2002,9,29,0.26,
2002,11,7,0.05,
2002,11,8,3.90,
2002,11,9,1.68,
2002,11,10,0.15,
2002,11,30,0.08,
2002,12,15,0.50,
2002,12,16,0.07,
2002,12,17,2.15,
2002,12,18,0.17,
2002,12,20,1.95,
2002,12,22,0.98,
2002,12,29,0.51,
2003,1,1,0.08,
2003,2,11,0.51,
2003,2,12,0.49,
2003,2,13,1.10,
2003,2,14,0.25,
2003,2,25,0.20,
2003,2,27,0.10,
2003,3,5,0.14,
2003,3,15,3.65,
2003,4,14,1.10,
2003,4,28,0.06,
2003,5,3,1.37,
2003,5,4,0.16,
2003,5,7,0.01,
2003,6,3,0.02,
2003,6,9,0.05,
2003,6,10,0.02,
2003,11,1,0.68,
2003,11,3,0.06,
2003,11,4,0.05,
2003,11,9,0.61,
2003,11,11,0.03,
2003,12,15,0.27,
2003,12,23,0.10,
2003,12,24,0.45,
2003,12,25,0.36,
2003,12,26,1.32,
2003,12,30,0.02,
2004,1,2,0.28,
2004,1,4,0.04,
2004,2,3,0.68,
2004,2,18,0.30,
2004,2,19,0.45,
2004,2,21,0.06,
2004,2,23,0.39,
2004,2,26,3.29,
2004,3,2,0.47,
2004,10,17,0.32,
2004,10,18,0.29,
2004,10,19,0.21,
2004,10,20,2.21,
2004,10,27,1.02,
2004,11,4,0.10,
2004,11,28,0.05,
2004,12,5,0.17,
2004,12,6,0.10,
2004,12,8,0.26,E440
2004,12,27,0.05,
2004,12,28,3.35,
2004,12,29,0.97,
2004,12,30,0.10,
2004,12,31,1.34,
2005,1,2,0.16,
2005,1,3,1.20,
2005,1,7,0.80,
2005,1,8,1.48,
2005,1,9,2.95,
2005,1,10,4.25,
2005,1,11,0.74,
2005,1,12,0.02,
2005,1,27,0.02,
2005,1,28,0.24,
2005,1,29,0.23,
2005,2,11,0.45,
2005,2,16,0.25,
2005,2,18,0.90,
2005,2,19,1.01,
2005,2,20,0.05,
2005,2,21,2.40,
2005,2,22,0.55,
2005,2,23,1.24,
2005,2,28,0.08,
2005,3,3,0.12,
2005,3,4,0.40,
2005,3,5,0.22,
2005,3,19,0.35,
2005,3,21,0.08,
2005,3,23,2.10,
2005,3,28,0.20,
2005,4,28,0.96,
2005,5,5,0.01,
2005,5,6,0.70,
2005,5,9,0.29,
2005,9,26,0.02,
2005,10,17,0.05,
2005,10,18,0.72,
2005,10,19,0.02,
2005,10,23,0.06,
2005,10,24,0.07,
2005,10,25,0.16,
2005,11,9,1.00,
2005,11,10,0.77,
2005,12,2,0.31,
2005,12,3,0.20,
2005,12,19,0.05,
2005,12,26,0.14,
2005,12,31,0.20,
2006,1,1,2.00,
2006,1,2,2.38,
2006,1,3,0.23,
2006,2,18,0.17,
2006,2,19,0.15,
2006,2,27,0.15,
2006,2,28,2.05,
2006,3,3,0.35,
2006,3,4,0.03,
2006,3,6,0.06,
2006,3,7,0.35,
2006,3,11,0.32,
2006,3,12,0.10,
2006,3,13,0.05,
2006,3,18,0.49,
2006,3,21,0.27,
2006,3,26,0.12,
